"Data Source","World Development Indicators",

"Last Updated Date","2017-10-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","","","","","","","","","","","","","","","27.3","27.3","27.7","27.7","27.3","27.7","27.7","27.7","27.7","27.7","27.7","27.7",
"Angola","AGO","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","","","","","","","9.5","15.5","15.5","15.5","15.5","15.5","15.5","15","15","15","15","37.3","38.6","38.6","38.2","34.1","34.1","36.8","36.8","36.8",
"Albania","ALB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8","","","","","","","","","5.2","5.2","5.7","5.7","5.7","6.4","7.1","7.1","7.1","7.1","16.4","16.4","15.7","15.7","17.9","20","20.7","22.9",
"Andorra","AND","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","7.1","7.1","7.1","14.3","14.3","14.3","14.3","28.6","28.6","28.6","25","35.7","35.7","50","50","50","50","39.3","32.1",
"Arab World","ARB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.89143920595534","","","","","","","3.75783497350492","3.47423537234043","3.6234320892651","3.7681031165833","4.61059763724809","6.13235192241081","6.0439175257732","6.7026706231454","7.0417823228634","9.35781922525107","9.76215634711929","9.81092517332058","9.91258880994672","11.9239257179875","11.3352657004831","14.8720183486239","17.49244456611","17.7939697133586","18.779151193634","18.8526498495719",
"United Arab Emirates","ARE","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0","0","0","0","0","0","0","0","0","5","22.5","22.5","22.5","22.5","17.5","17.5","17.5","17.5","22.5","22.5",
"Argentina","ARG","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","","","27.6","27.6","","26.5","","30.7","30.7","33.7","36.2","35","40","40","38.5","38.5","37.4","37.4","","36.6","","35.8",
"Armenia","ARM","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.6","","","","","","","6.3","6.3","3.1","3.1","3.1","3.1","4.6","5.3","5.3","5.3","9.2","8.4","9.2","9.2","8.4","10.7","10.7","10.7","10.7","10.7",
"American Samoa","ASM","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
